3.01273e-28

Initial statistics: 625 variables; iteration 0; function evaluation 0
Function value   3.9769573e+01; maximum gradient component mag  -5.9319e+01
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
406  0.00000 -3.43656e+00 |407  0.00000  4.64146e+00 |408  0.00000  3.11901e-01
409  0.00000  2.17081e+00 |410  0.00000  7.86019e+00 |411  0.00000  5.74394e+00
412  0.00000  1.06663e-01 |413  0.00000 -1.87721e+00 |414  0.00000 -2.74246e+00
415  0.00000  2.63027e+00 |416  0.00000  4.34681e+00 |417  0.00000 -7.96028e+00
418  0.00000  2.21037e+00 |419  0.00000 -2.11883e-01 |420  0.00000  5.44009e+00
421  0.00000  5.36530e-01 |422  0.00000  6.93694e+00 |423  0.00000 -9.31496e-01
424  0.00000  2.56573e+00 |425  0.00000 -4.37498e+00 |426  0.00000  5.29622e+00
427  0.00000  6.10432e+00 |428  0.00000  1.00947e+00 |429  0.00000 -6.53775e-01
430  0.00000 -1.14733e+00 |431  0.00000 -2.09631e+00 |432  0.00000  1.02738e+01
433  0.00000 -2.42975e+00 |434  0.00000 -3.31725e+00 |435  0.00000  2.22604e+00
436  0.00000  3.98163e+00 |437  0.00000 -5.93650e+00 |438  0.00000  8.54214e-01
439  0.00000 -5.61074e+00 |440  0.00000 -5.91708e-01 |441  0.00000  7.79250e+00
442  0.00000 -9.13353e+00 |443  0.00000  4.96009e+00 |444  0.00000  1.03810e+00
445  0.00000  6.59295e+00 |446  0.00000 -4.26536e+00 |447  0.00000 -1.52025e+00
448  0.00000 -2.73684e+00 |449  0.00000  3.92505e+00 |450  0.00000 -6.02530e-01
451  0.00000 -2.87542e+00 |452  0.00000 -2.33234e+00 |453  0.00000 -1.79414e+01
454  0.00000  9.19066e+00 |455  0.00000 -9.52357e+00 |456  0.00000  4.68340e+00
457  0.00000 -1.39791e+00 |458  0.00000 -2.58789e-01 |459  0.00000 -3.99330e+00
460  0.00000 -1.25089e+01 |461  0.00000 -8.98190e+00 |462  0.00000 -3.49849e+00
463  0.00000  5.29112e+00 |464  0.00000  6.58018e+00 |465  0.00000 -6.36390e-01
466  0.00000 -4.38645e+00 |467  0.00000  1.12178e+01 |468  0.00000  1.72069e+00
469  0.00000  3.86584e+00 |470  0.00000 -1.23351e+01 |471  0.00000 -2.87148e+00
472  0.00000 -1.08509e+01 |473  0.00000 -4.21124e+00 |474  0.00000 -2.57039e-01
475  0.00000  9.20113e+00 |476  0.00000 -3.03568e+00 |477  0.00000 -3.97980e+00
478  0.00000  3.09272e+01 |479  0.00000 -1.53660e+01 |480  0.00000  1.85233e+01
481  0.00000 -6.04849e+00 |482  0.00000 -1.01692e+01 |483  0.00000  4.59812e+00
484  0.00000  1.21949e+01 |485  0.00000  2.03914e+01 |486  0.00000  1.14578e+01
487  0.00000  1.41407e+01 |488  0.00000 -1.11233e+01 |489  0.00000 -3.73728e+00
490  0.00000  2.74208e+00 |491  0.00000 -1.94426e+00 |492  0.00000 -8.54624e+00
493  0.00000 -9.49766e+00 |494  0.00000 -7.36732e+00 |495  0.00000  1.31419e+01
496  0.00000  1.11201e+01 |497  0.00000  2.37211e+01 |498  0.00000  1.03954e+01
499  0.00000 -4.49244e+00 |500  0.00000 -1.61393e+01 |501  0.00000  7.99172e+00
502  0.00000  8.93375e+00 |503  0.00000 -2.03084e+01 |504  0.00000  9.61271e+00
505  0.00000 -1.36796e+01 |506  0.00000  2.32580e+00 |507  0.00000  1.67856e+01
508  0.00000 -5.78453e+00 |509  0.00000 -1.18924e+01 |510  0.00000 -1.22523e+01
511  0.00000 -3.96797e+00 |512  0.00000 -1.57063e+01 |513  0.00000  8.33871e+00
514  0.00000 -3.58795e+00 |515  0.00000 -3.29823e+00 |516  0.00000  9.18443e+00
517  0.00000 -3.11843e+00 |518  0.00000  1.09389e+01 |519  0.00000  5.82651e+00
520  0.00000 -1.81295e+00 |521  0.00000 -1.19871e+01 |522  0.00000 -1.81489e+01
523  0.00000 -9.16449e+00 |524  0.00000  6.50074e+00 |525  0.00000  1.05177e+01
526  0.00000  3.33475e+00 |527  0.00000  3.14221e+00 |528  0.00000  6.06368e+00
529  0.00000 -3.58362e+00 |530  0.00000  2.79039e+00 |531  0.00000 -2.23984e+00
532  0.00000  4.05844e+00 |533  0.00000 -7.32616e-01 |534  0.00000 -1.47185e-01
535  0.00000  4.61579e+00 |536  0.00000  4.44475e+00 |537  0.00000 -1.16296e+00
538  0.00000 -1.84738e+00 |539  0.00000 -4.67128e+00 |540  0.00000 -6.91964e-01
541  0.00000  4.55029e+00 |542  0.00000 -7.05772e+00 |543  0.00000  7.63749e-01
544  0.00000 -8.77054e-01 |545  0.00000  7.04168e+00 |546  0.00000 -7.45714e-01
547  0.00000  3.06681e+00 |548  0.00000  8.12673e-01 |549  0.00000  1.01068e+00
550  0.00000 -3.30123e+00 |551  0.00000 -1.83742e+00 |552  0.00000 -1.62807e+00
553  0.00000  1.62844e+01 |554  0.00000 -7.53967e+00 |555  0.00000  9.31774e+00
556  0.00000 -3.52888e+00 |557  0.00000 -3.81631e+00 |558  0.00000  2.24330e+00
559  0.00000  6.41300e+00 |560  0.00000  1.13943e+01 |561  0.00000  6.38325e+00
562  0.00000  6.95798e+00 |563  0.00000 -5.23728e+00 |564  0.00000 -1.74506e+00
565  0.00000  2.40808e+00 |566  0.00000 -3.98561e-01 |567  0.00000 -5.36737e+00
568  0.00000 -3.78301e+00 |569  0.00000 -3.48959e+00 |570  0.00000  6.61126e+00
571  0.00000  5.52012e+00 |572  0.00000  1.25046e+01 |573  0.00000  4.35052e+00
574  0.00000 -1.20885e+00 |575  0.00000 -8.34891e+00 |576  0.00000 -1.77215e+00
577  0.00000 -4.38441e+00 |578  0.00000  1.12043e+01 |579  0.00000 -6.48287e+00
580  0.00000  7.99356e+00 |581  0.00000 -5.62378e-01 |582  0.00000 -1.00742e+01
583  0.00000  2.19537e+00 |584  0.00000  5.13987e+00 |585  0.00000  5.10308e+00
586  0.00000  1.77270e+00 |587  0.00000  8.18952e+00 |588  0.00000 -4.87548e+00
589  0.00000 -1.62619e-01 |590  0.00000 -8.91036e-01 |591  0.00000 -4.91893e+00
592  0.00000  1.72623e+00 |593  0.00000 -7.55654e+00 |594  0.00000 -4.42230e+00
595  0.00000  3.37222e+00 |596  0.00000  6.01217e+00 |597  0.00000  7.54044e+00
598  0.00000  7.17681e+00 |599  0.00000 -4.93117e+00 |600  0.00000 -5.77552e+00
601  0.00000  2.81816e-01 |602  0.00000 -5.20927e-01 |603  0.00000 -8.50763e+00
604  0.00000  3.80101e+00 |605  0.00000 -4.35218e+00 |606  0.00000  2.51069e+00
607  0.00000 -9.14410e-01 |608  0.00000 -8.75430e-01 |609  0.00000 -2.74233e+00
610  0.00000 -6.76286e+00 |611  0.00000 -4.38545e+00 |612  0.00000 -2.17355e+00
613  0.00000  2.50917e+00 |614  0.00000  1.77928e+00 |615  0.00000 -1.65533e+00
616  0.00000 -1.80983e+00 |617  0.00000  5.04477e+00 |618  0.00000  4.49815e-01
619  0.00000  1.14453e+00 |620  0.00000 -4.52634e+00 |621  0.00000 -1.92600e+00
622  0.00000 -6.74811e+00 |623  0.00000 -1.02081e+00 |624  0.00000 -5.80081e-01
625  0.00000  4.44162e+00 |
2.17932e-28
2.51969e-28
5.27992e-28
4.21408e-28
2.84099e-28
2.35133e-28
1.96501e-28
1.50322e-28
8.71273e-29
3.54513e-29
1.1423e-29
8.76769e-30
1.07905e-29
1.25283e-29
1.24521e-29

Intermediate statistics: 625 variables; iteration 10; function evaluation 15
Function value   2.4031301e-01; maximum gradient component mag  -1.9731e-03
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
  1 -1.18565  6.74318e-04 |  2 -0.37469 -1.40413e-05 |  3 -1.43080 -1.10187e-04
  4 -0.23288  6.62731e-04 |  5 -0.22427  4.48296e-04 |  6  0.98855  1.19601e-04
  7 -0.90586 -3.80148e-06 |  8 -2.45875  5.73683e-04 |  9 -2.48561 -8.86445e-05
 10  0.00225 -5.30289e-04 | 11 -1.25039 -7.82100e-06 | 12 -0.87490  7.87446e-04
 13  1.70313  6.84032e-05 | 14  1.78706 -2.06851e-04 | 15 -1.28248  2.03583e-04
 16  0.47684  3.74618e-04 | 17  0.39902  1.54025e-05 | 18  0.52637  3.51495e-04
 19  0.74615  1.05426e-04 | 20 -3.03193 -9.28907e-05 | 21 -0.80545  3.60398e-04
 22 -4.34016  2.81842e-04 | 23  0.45240 -5.95521e-04 | 24  3.19121 -4.77552e-04
 25  4.63075 -6.71468e-04 | 26  2.75114  2.76028e-04 | 27  4.61683 -3.57545e-04
 28  0.78992  2.14062e-04 | 29  0.95537 -9.39786e-05 | 30  0.04871  2.56880e-04
 31 -1.04111  1.75864e-04 | 32  3.78302  9.18255e-06 | 33 -4.21425  4.37124e-04
 34  2.24442  2.46084e-04 | 35  2.63281 -6.72072e-04 | 36  3.12133  1.31598e-04
 37 -1.76903  2.31421e-04 | 38  2.72119 -5.36971e-04 | 39 -3.09706 -2.90685e-05
 40  0.71293 -5.30258e-06 | 41  3.86939 -1.24498e-04 | 42 -5.13108  6.01728e-05
 43  2.54117  9.14538e-05 | 44  0.41996 -1.16483e-04 | 45  4.41248  2.31832e-04
 46 -1.56250  9.52226e-06 | 47  5.72065 -2.56066e-04 | 48  1.54842 -1.00802e-04
 49  1.30426  3.71551e-04 | 50 -0.35953  2.84336e-04 | 51 -1.97465  2.95468e-04
 52 -1.51456  8.79816e-04 | 53 -3.68284  6.69696e-04 | 54 -0.21925 -1.15977e-04
 55 -0.42669 -9.99435e-05 | 56  0.69946  3.08953e-04 | 57 -4.10201 -3.70799e-05
 58  0.10717 -1.03753e-04 | 59  0.65701 -4.13587e-04 | 60 -2.62352 -8.32065e-04
 61 -0.63565 -1.62165e-04 | 62 -1.04031  6.83177e-05 | 63  0.64230 -5.92801e-04
 64  1.38330 -4.15924e-04 | 65 -1.92939  1.86385e-04 | 66  0.06502  3.15182e-04
 67  2.67033 -2.65587e-05 | 68  2.80944 -7.31628e-04 | 69  1.92459 -1.13350e-03
